username;balances
HfMDmNLp;55683,12913
xPLKzCBl;79731,83277
AtwIxZHo;35479,24643
dxGaEAii;11888,4086
MBlfbBGI;67823,75573
lAhWlEWZ;18651,74719
nuZweYtO;22073,51485
gbdSwiuY;34897,2903
RZNneNuP;83296,15005
YsscHXkp;31699,49678
RkLzkDun;2087,2457
HlQlnEYI;30605,75235
RqkZOFYe;16881,95007
NjCSRAfD;41163,9026
pHniJMQY;14874,63145
dOGIMzKR;10032,92123
HfMDmNLp;55683,27684
xPLKzCBl;79731,54111
AtwIxZHo;35479,38289
dxGaEAii;11888,9147
MBlfbBGI;67823,38680
lAhWlEWZ;18651,19204
nuZweYtO;22073,31958
gbdSwiuY;34897,6426
RZNneNuP;83296,62204
YsscHXkp;31699,17723
RkLzkDun;2087,53535
HlQlnEYI;30605,48780
RqkZOFYe;16881,55914
NjCSRAfD;41163,86035
pHniJMQY;14874,11588
dOGIMzKR;10032,97270
HfMDmNLp;55683,29979
xPLKzCBl;79731,57076
AtwIxZHo;35479,74128
dxGaEAii;11888,84415
MBlfbBGI;67823,29738
lAhWlEWZ;18651,36594
nuZweYtO;22073,61028
gbdSwiuY;34897,20212
RZNneNuP;83296,24286
YsscHXkp;31699,82182
RkLzkDun;2087,58172
HlQlnEYI;30605,13302
RqkZOFYe;16881,91871
NjCSRAfD;41163,73758
pHniJMQY;14874,42068
dOGIMzKR;10032,14341
HfMDmNLp;55683,59214
xPLKzCBl;79731,76856
AtwIxZHo;35479,57444
dxGaEAii;11888,66862
MBlfbBGI;67823,56720
lAhWlEWZ;18651,12887
nuZweYtO;22073,19054
gbdSwiuY;34897,1024
RZNneNuP;83296,30721
YsscHXkp;31699,46579
RkLzkDun;2087,52760
HlQlnEYI;30605,41113
RqkZOFYe;16881,99354
NjCSRAfD;41163,69640
pHniJMQY;14874,44228
dOGIMzKR;10032,23540
HfMDmNLp;55683,78139
xPLKzCBl;79731,27286
AtwIxZHo;35479,64192
dxGaEAii;11888,30169
MBlfbBGI;67823,7337
lAhWlEWZ;18651,16334
nuZweYtO;22073,46001
gbdSwiuY;34897,20871
RZNneNuP;83296,61317
YsscHXkp;31699,48145
RkLzkDun;2087,48533
HlQlnEYI;30605,61616
RqkZOFYe;16881,13774
NjCSRAfD;41163,24025
pHniJMQY;14874,90833
dOGIMzKR;10032,97029
HfMDmNLp;55683,152
xPLKzCBl;79731,74161
AtwIxZHo;35479,65996
dxGaEAii;11888,6506
MBlfbBGI;67823,11460
lAhWlEWZ;18651,64121
nuZweYtO;22073,962
gbdSwiuY;34897,88962
RZNneNuP;83296,48975
YsscHXkp;31699,55538
RkLzkDun;2087,18505
HlQlnEYI;30605,65961
RqkZOFYe;16881,53468
NjCSRAfD;41163,90560
pHniJMQY;14874,12842
dOGIMzKR;10032,68186
HfMDmNLp;55683,17547
xPLKzCBl;79731,98153
AtwIxZHo;35479,23974
dxGaEAii;11888,66831
MBlfbBGI;67823,23199
lAhWlEWZ;18651,9952
nuZweYtO;22073,94099
gbdSwiuY;34897,47676
RZNneNuP;83296,16615
YsscHXkp;31699,77597
RkLzkDun;2087,50040
HlQlnEYI;30605,1998
RqkZOFYe;16881,38668
NjCSRAfD;41163,35703
pHniJMQY;14874,82106
dOGIMzKR;10032,59746
HfMDmNLp;55683,39547
xPLKzCBl;79731,56579
AtwIxZHo;35479,68251
dxGaEAii;11888,17454
MBlfbBGI;67823,45708
lAhWlEWZ;18651,80617
nuZweYtO;22073,11957
gbdSwiuY;34897,78890
RZNneNuP;83296,91798
YsscHXkp;31699,91587
RkLzkDun;2087,56219
HlQlnEYI;30605,48432
RqkZOFYe;16881,1886
NjCSRAfD;41163,4338
pHniJMQY;14874,60751
dOGIMzKR;10032,35054
HfMDmNLp;55683,64653
xPLKzCBl;79731,32958
AtwIxZHo;35479,79053
dxGaEAii;11888,58941
MBlfbBGI;67823,41404
lAhWlEWZ;18651,79940
nuZweYtO;22073,20561
gbdSwiuY;34897,10773
RZNneNuP;83296,60002
YsscHXkp;31699,60238
RkLzkDun;2087,34080
HlQlnEYI;30605,37568
RqkZOFYe;16881,296
NjCSRAfD;41163,29337
pHniJMQY;14874,86040
dOGIMzKR;10032,94625
HfMDmNLp;55683,7751
xPLKzCBl;79731,25729
AtwIxZHo;35479,72613
dxGaEAii;11888,40217
MBlfbBGI;67823,8964
lAhWlEWZ;18651,72702
nuZweYtO;22073,9738
gbdSwiuY;34897,47851
RZNneNuP;83296,35136
YsscHXkp;31699,80702
RkLzkDun;2087,61765
HlQlnEYI;30605,10116
RqkZOFYe;16881,74826
NjCSRAfD;41163,56559
pHniJMQY;14874,56337
dOGIMzKR;10032,9558
HfMDmNLp;55683,59691
xPLKzCBl;79731,50991
AtwIxZHo;35479,17478
dxGaEAii;11888,54056
MBlfbBGI;67823,57592
lAhWlEWZ;18651,80213
nuZweYtO;22073,89193
gbdSwiuY;34897,31522
RZNneNuP;83296,47934
YsscHXkp;31699,99427
RkLzkDun;2087,59650
HlQlnEYI;30605,88320
RqkZOFYe;16881,87148
NjCSRAfD;41163,19458
pHniJMQY;14874,47127
dOGIMzKR;10032,68708
HfMDmNLp;55683,40179
xPLKzCBl;79731,53108
AtwIxZHo;35479,93484
dxGaEAii;11888,44377
MBlfbBGI;67823,77426
lAhWlEWZ;18651,17171
nuZweYtO;22073,5326
gbdSwiuY;34897,71635
RZNneNuP;83296,15851
YsscHXkp;31699,30302
RkLzkDun;2087,82057
HlQlnEYI;30605,16372
RqkZOFYe;16881,22525
NjCSRAfD;41163,32238
pHniJMQY;14874,38814
dOGIMzKR;10032,73726
HfMDmNLp;55683,98283
xPLKzCBl;79731,45553
AtwIxZHo;35479,60531
dxGaEAii;11888,33980
MBlfbBGI;67823,43244
lAhWlEWZ;18651,58301
nuZweYtO;22073,24344
gbdSwiuY;34897,54310
RZNneNuP;83296,27116
YsscHXkp;31699,7835
RkLzkDun;2087,78849
HlQlnEYI;30605,71299
RqkZOFYe;16881,69206
NjCSRAfD;41163,42187
pHniJMQY;14874,74014
dOGIMzKR;10032,85683
HfMDmNLp;55683,44312
xPLKzCBl;79731,24527
AtwIxZHo;35479,87694
dxGaEAii;11888,74279
MBlfbBGI;67823,61470
lAhWlEWZ;18651,44665
nuZweYtO;22073,87910
gbdSwiuY;34897,89616
RZNneNuP;83296,13201
YsscHXkp;31699,23860
RkLzkDun;2087,67495
HlQlnEYI;30605,48345
RqkZOFYe;16881,95893
NjCSRAfD;41163,3611
pHniJMQY;14874,19294
dOGIMzKR;10032,87824
HfMDmNLp;55683,15410
xPLKzCBl;79731,22992
AtwIxZHo;35479,97860
dxGaEAii;11888,55779
MBlfbBGI;67823,49070
lAhWlEWZ;18651,83393
nuZweYtO;22073,73463
gbdSwiuY;34897,59835
RZNneNuP;83296,98694
YsscHXkp;31699,42518
RkLzkDun;2087,50573
HlQlnEYI;30605,54936
RqkZOFYe;16881,88955
NjCSRAfD;41163,69398
pHniJMQY;14874,55536
dOGIMzKR;10032,12889
HfMDmNLp;55683,47836
xPLKzCBl;79731,41218
AtwIxZHo;35479,89134
dxGaEAii;11888,5074
MBlfbBGI;67823,89011
lAhWlEWZ;18651,66146
nuZweYtO;22073,99203
gbdSwiuY;34897,52607
RZNneNuP;83296,81674
YsscHXkp;31699,33173
RkLzkDun;2087,48504
HlQlnEYI;30605,2412
RqkZOFYe;16881,92497
NjCSRAfD;41163,35321
pHniJMQY;14874,53632
dOGIMzKR;10032,15397
HfMDmNLp;55683,90968
xPLKzCBl;79731,33260
AtwIxZHo;35479,99133
dxGaEAii;11888,30241
MBlfbBGI;67823,21437
lAhWlEWZ;18651,25773
nuZweYtO;22073,74813
gbdSwiuY;34897,22726
RZNneNuP;83296,41509
YsscHXkp;31699,59427
RkLzkDun;2087,1760
HlQlnEYI;30605,60513
RqkZOFYe;16881,52961
NjCSRAfD;41163,8273
pHniJMQY;14874,78599
dOGIMzKR;10032,81000
HfMDmNLp;55683,53343
xPLKzCBl;79731,83502
AtwIxZHo;35479,48245
dxGaEAii;11888,90483
MBlfbBGI;67823,89340
lAhWlEWZ;18651,40555
nuZweYtO;22073,68717
gbdSwiuY;34897,92002
RZNneNuP;83296,92930
YsscHXkp;31699,7856
RkLzkDun;2087,44876
HlQlnEYI;30605,68983
RqkZOFYe;16881,88600
NjCSRAfD;41163,9048
pHniJMQY;14874,87597
dOGIMzKR;10032,7271
HfMDmNLp;55683,53132
xPLKzCBl;79731,81320
AtwIxZHo;35479,90591
dxGaEAii;11888,39701
MBlfbBGI;67823,31961
lAhWlEWZ;18651,72672
nuZweYtO;22073,28261
gbdSwiuY;34897,70516
RZNneNuP;83296,83376
YsscHXkp;31699,19446
RkLzkDun;2087,5105
HlQlnEYI;30605,24149
RqkZOFYe;16881,69963
NjCSRAfD;41163,87575
pHniJMQY;14874,57662
dOGIMzKR;10032,83886
HfMDmNLp;55683,72787
xPLKzCBl;79731,30629
AtwIxZHo;35479,13432
dxGaEAii;11888,24428
MBlfbBGI;67823,54106
lAhWlEWZ;18651,99613
nuZweYtO;22073,67000
gbdSwiuY;34897,22104
RZNneNuP;83296,67318
YsscHXkp;31699,51841
RkLzkDun;2087,23265
HlQlnEYI;30605,57875
RqkZOFYe;16881,99612
NjCSRAfD;41163,393
pHniJMQY;14874,49275
dOGIMzKR;10032,47946
HfMDmNLp;55683,66858
xPLKzCBl;79731,38355
AtwIxZHo;35479,12201
dxGaEAii;11888,43257
MBlfbBGI;67823,39257
lAhWlEWZ;18651,31600
nuZweYtO;22073,24286
gbdSwiuY;34897,52339
RZNneNuP;83296,71963
YsscHXkp;31699,95358
RkLzkDun;2087,6467
HlQlnEYI;30605,14295
RqkZOFYe;16881,53425
NjCSRAfD;41163,28366
pHniJMQY;14874,36984
dOGIMzKR;10032,30630
HfMDmNLp;55683,56095
xPLKzCBl;79731,57155
AtwIxZHo;35479,557
dxGaEAii;11888,1950
MBlfbBGI;67823,23482
lAhWlEWZ;18651,11788
nuZweYtO;22073,70882
gbdSwiuY;34897,50249
RZNneNuP;83296,62206
YsscHXkp;31699,22038
RkLzkDun;2087,78714
HlQlnEYI;30605,83194
RqkZOFYe;16881,85914
NjCSRAfD;41163,47112
pHniJMQY;14874,95173
dOGIMzKR;10032,64303
HfMDmNLp;55683,90091
xPLKzCBl;79731,1022
AtwIxZHo;35479,66917
dxGaEAii;11888,76907
MBlfbBGI;67823,57868
lAhWlEWZ;18651,36501
nuZweYtO;22073,50832
gbdSwiuY;34897,78786
RZNneNuP;83296,15813
YsscHXkp;31699,8714
RkLzkDun;2087,28907
HlQlnEYI;30605,65605
RqkZOFYe;16881,21617
NjCSRAfD;41163,89380
pHniJMQY;14874,98149
dOGIMzKR;10032,7003
HfMDmNLp;55683,31118
xPLKzCBl;79731,30904
AtwIxZHo;35479,43841
dxGaEAii;11888,14537
MBlfbBGI;67823,69012
lAhWlEWZ;18651,97627
nuZweYtO;22073,14831
gbdSwiuY;34897,11819
RZNneNuP;83296,21871
YsscHXkp;31699,81294
RkLzkDun;2087,24363
HlQlnEYI;30605,61397
RqkZOFYe;16881,52828
NjCSRAfD;41163,95810
pHniJMQY;14874,15929
dOGIMzKR;10032,91177
HfMDmNLp;55683,16379
xPLKzCBl;79731,65603
AtwIxZHo;35479,88838
dxGaEAii;11888,17987
MBlfbBGI;67823,75646
lAhWlEWZ;18651,83731
nuZweYtO;22073,21453
gbdSwiuY;34897,80875
RZNneNuP;83296,20692
YsscHXkp;31699,58162
RkLzkDun;2087,28509
HlQlnEYI;30605,7921
RqkZOFYe;16881,82501
NjCSRAfD;41163,73906
pHniJMQY;14874,30719
dOGIMzKR;10032,52606
HfMDmNLp;55683,7818
xPLKzCBl;79731,22496
AtwIxZHo;35479,92487
dxGaEAii;11888,55044
MBlfbBGI;67823,18428
lAhWlEWZ;18651,75746
nuZweYtO;22073,17070
gbdSwiuY;34897,74085
RZNneNuP;83296,15791
YsscHXkp;31699,75927
RkLzkDun;2087,58070
HlQlnEYI;30605,65295
RqkZOFYe;16881,92374
NjCSRAfD;41163,21556
pHniJMQY;14874,77472
dOGIMzKR;10032,3408
HfMDmNLp;55683,54121
xPLKzCBl;79731,35919
AtwIxZHo;35479,30380
dxGaEAii;11888,98926
MBlfbBGI;67823,68580
lAhWlEWZ;18651,47375
nuZweYtO;22073,48385
gbdSwiuY;34897,57183
RZNneNuP;83296,54973
YsscHXkp;31699,16360
RkLzkDun;2087,35412
HlQlnEYI;30605,28556
RqkZOFYe;16881,43351
NjCSRAfD;41163,51212
pHniJMQY;14874,9791
dOGIMzKR;10032,24805
HfMDmNLp;55683,23042
xPLKzCBl;79731,70684
AtwIxZHo;35479,43827
dxGaEAii;11888,43448
MBlfbBGI;67823,70986
lAhWlEWZ;18651,11871
nuZweYtO;22073,70905
gbdSwiuY;34897,42891
RZNneNuP;83296,13061
YsscHXkp;31699,74520
RkLzkDun;2087,71992
HlQlnEYI;30605,39096
RqkZOFYe;16881,62537
NjCSRAfD;41163,30133
pHniJMQY;14874,48831
dOGIMzKR;10032,1522
HfMDmNLp;55683,27665
xPLKzCBl;79731,21665
AtwIxZHo;35479,73042
dxGaEAii;11888,51955
MBlfbBGI;67823,65252
lAhWlEWZ;18651,64303
nuZweYtO;22073,19525
gbdSwiuY;34897,61376
RZNneNuP;83296,95128
YsscHXkp;31699,64312
RkLzkDun;2087,78717
HlQlnEYI;30605,91234
RqkZOFYe;16881,36198
NjCSRAfD;41163,30314
pHniJMQY;14874,34807
dOGIMzKR;10032,4486
HfMDmNLp;55683,45023
xPLKzCBl;79731,28063
AtwIxZHo;35479,1674
dxGaEAii;11888,51655
MBlfbBGI;67823,11567
lAhWlEWZ;18651,22828
nuZweYtO;22073,127
gbdSwiuY;34897,98516
RZNneNuP;83296,29607
YsscHXkp;31699,92434
RkLzkDun;2087,39741
HlQlnEYI;30605,40803
RqkZOFYe;16881,68527
NjCSRAfD;41163,14786
pHniJMQY;14874,39273
dOGIMzKR;10032,12018
HfMDmNLp;55683,16681
xPLKzCBl;79731,79331
AtwIxZHo;35479,15457
dxGaEAii;11888,28469
MBlfbBGI;67823,81979
lAhWlEWZ;18651,50629
nuZweYtO;22073,72476
gbdSwiuY;34897,57549
RZNneNuP;83296,64654
YsscHXkp;31699,26467
RkLzkDun;2087,92744
HlQlnEYI;30605,77531
RqkZOFYe;16881,85999
NjCSRAfD;41163,97087
pHniJMQY;14874,13194
dOGIMzKR;10032,18787
HfMDmNLp;55683,57783
xPLKzCBl;79731,52493
AtwIxZHo;35479,29085
dxGaEAii;11888,67911
MBlfbBGI;67823,36410
lAhWlEWZ;18651,79550
nuZweYtO;22073,87590
gbdSwiuY;34897,60662
RZNneNuP;83296,13150
YsscHXkp;31699,57572
RkLzkDun;2087,66713
HlQlnEYI;30605,75520
RqkZOFYe;16881,12277
NjCSRAfD;41163,10993
pHniJMQY;14874,47497
dOGIMzKR;10032,34846
HfMDmNLp;55683,72692
xPLKzCBl;79731,45093
AtwIxZHo;35479,76490
dxGaEAii;11888,63160
MBlfbBGI;67823,37320
lAhWlEWZ;18651,33853
nuZweYtO;22073,87640
gbdSwiuY;34897,47464
RZNneNuP;83296,8231
YsscHXkp;31699,96051
RkLzkDun;2087,29413
HlQlnEYI;30605,14773
RqkZOFYe;16881,30411
NjCSRAfD;41163,90221
pHniJMQY;14874,97803
dOGIMzKR;10032,85982
HfMDmNLp;55683,98805
xPLKzCBl;79731,53357
AtwIxZHo;35479,43320
dxGaEAii;11888,62511
MBlfbBGI;67823,13723
lAhWlEWZ;18651,39745
nuZweYtO;22073,64171
gbdSwiuY;34897,53024
RZNneNuP;83296,79564
YsscHXkp;31699,70925
RkLzkDun;2087,54354
HlQlnEYI;30605,7398
RqkZOFYe;16881,48056
NjCSRAfD;41163,39345
pHniJMQY;14874,88231
dOGIMzKR;10032,46314
HfMDmNLp;55683,85902
xPLKzCBl;79731,27783
AtwIxZHo;35479,5198
dxGaEAii;11888,9017
MBlfbBGI;67823,44853
lAhWlEWZ;18651,40332
nuZweYtO;22073,31328
gbdSwiuY;34897,57571
RZNneNuP;83296,65454
YsscHXkp;31699,10634
RkLzkDun;2087,83882
HlQlnEYI;30605,3888
RqkZOFYe;16881,34628
NjCSRAfD;41163,77998
pHniJMQY;14874,61960
dOGIMzKR;10032,83086
HfMDmNLp;55683,18125
xPLKzCBl;79731,83998
AtwIxZHo;35479,66484
dxGaEAii;11888,33502
MBlfbBGI;67823,37172
lAhWlEWZ;18651,92126
nuZweYtO;22073,17851
gbdSwiuY;34897,42246
RZNneNuP;83296,89907
YsscHXkp;31699,56487
RkLzkDun;2087,43337
HlQlnEYI;30605,59533
RqkZOFYe;16881,13326
NjCSRAfD;41163,6192
pHniJMQY;14874,75142
dOGIMzKR;10032,29203
HfMDmNLp;55683,77302
xPLKzCBl;79731,52233
AtwIxZHo;35479,60403
dxGaEAii;11888,72421
MBlfbBGI;67823,91022
lAhWlEWZ;18651,26650
nuZweYtO;22073,82319
gbdSwiuY;34897,64822
RZNneNuP;83296,90565
YsscHXkp;31699,58599
RkLzkDun;2087,44304
HlQlnEYI;30605,9694
RqkZOFYe;16881,21233
NjCSRAfD;41163,10836
pHniJMQY;14874,40711
dOGIMzKR;10032,85804
HfMDmNLp;55683,46807
xPLKzCBl;79731,64818
AtwIxZHo;35479,90172
dxGaEAii;11888,18828
MBlfbBGI;67823,88100
lAhWlEWZ;18651,77595
nuZweYtO;22073,87216
gbdSwiuY;34897,67609
RZNneNuP;83296,21238
YsscHXkp;31699,36913
RkLzkDun;2087,35192
HlQlnEYI;30605,7989
RqkZOFYe;16881,83863
NjCSRAfD;41163,10363
pHniJMQY;14874,12387
dOGIMzKR;10032,39904
HfMDmNLp;55683,30466
xPLKzCBl;79731,87180
AtwIxZHo;35479,78895
dxGaEAii;11888,13220
MBlfbBGI;67823,14231
lAhWlEWZ;18651,54647
nuZweYtO;22073,2080
gbdSwiuY;34897,58312
RZNneNuP;83296,10190
YsscHXkp;31699,27353
RkLzkDun;2087,78200
HlQlnEYI;30605,51420
RqkZOFYe;16881,30225
NjCSRAfD;41163,57623
pHniJMQY;14874,65649
dOGIMzKR;10032,95
HfMDmNLp;55683,61479
xPLKzCBl;79731,89816
AtwIxZHo;35479,28787
dxGaEAii;11888,55418
MBlfbBGI;67823,30246
lAhWlEWZ;18651,94628
nuZweYtO;22073,28492
gbdSwiuY;34897,16562
RZNneNuP;83296,59501
YsscHXkp;31699,1822
RkLzkDun;2087,11398
HlQlnEYI;30605,62613
RqkZOFYe;16881,17436
NjCSRAfD;41163,64713
pHniJMQY;14874,51128
dOGIMzKR;10032,28352
HfMDmNLp;55683,83737
xPLKzCBl;79731,54099
AtwIxZHo;35479,75771
dxGaEAii;11888,76403
MBlfbBGI;67823,90564
lAhWlEWZ;18651,1749
nuZweYtO;22073,75411
gbdSwiuY;34897,71629
RZNneNuP;83296,30802
YsscHXkp;31699,3081
RkLzkDun;2087,33597
HlQlnEYI;30605,18475
RqkZOFYe;16881,89266
NjCSRAfD;41163,92381
pHniJMQY;14874,96178
dOGIMzKR;10032,90567
HfMDmNLp;55683,70847
xPLKzCBl;79731,23166
AtwIxZHo;35479,71688
dxGaEAii;11888,26828
MBlfbBGI;67823,44810
lAhWlEWZ;18651,46166
nuZweYtO;22073,75920
gbdSwiuY;34897,43765
RZNneNuP;83296,14842
YsscHXkp;31699,76975
RkLzkDun;2087,77514
HlQlnEYI;30605,32479
RqkZOFYe;16881,75108
NjCSRAfD;41163,34507
pHniJMQY;14874,99085
dOGIMzKR;10032,55446
HfMDmNLp;55683,79548
xPLKzCBl;79731,32898
AtwIxZHo;35479,37200
dxGaEAii;11888,94692
MBlfbBGI;67823,35665
lAhWlEWZ;18651,78671
nuZweYtO;22073,77722
gbdSwiuY;34897,60159
RZNneNuP;83296,75225
YsscHXkp;31699,82681
RkLzkDun;2087,79849
HlQlnEYI;30605,99416
